label,original,lamb,davinci3
anger,BASED AND REDPILLED,based and redpilled,"""ENRAGED AND AWAKENED""."
disgust,Sign my name to it too lol it was so awful we deserve pain and suffering for that!,notes my name to it too lol it was so awful we deserve pain and no suffering for that!,Sign my name onto it too lol it was so vile we deserve torture and anguish for that!
joy,"[NAME] instead of [NAME] for me, but glad to see [NAME] is doing well.","[ name ] instead of [ name ] for anyone, but glad to see [ name ] is doing well.","[NAME] instead of me, but thrilled to see [NAME] doing well."
anger,I do remember this and wanted nothing more than to kill that guy,i do remember it and wanted nothing more than to kill that fucking guy,I vividly recall this and longed only to vanquish that guy.
disgust,This is one of the worst I've seen...,this is possibly one of the worst i've seen...,This is one of the filthiest I've seen....
sadness,Can't stand having sex with you...?? Just horrible thing to say... You deserve better!!!,"can't stand having me with you...?? just tragic sad thing to say... you deserve better!! """,Can't stand being intimate with you...? Just horrible comment to make... You deserve better!!!
sadness,Honestly his post was a little sad. The fact that it got upvotes makes me want to avoid this sub over the summer.,honestly his post was a little sad. the fact that it got upvots makes me badly want to avoid this sub over the summer.,Honestly his post was quite depressing. The fact that it got upvotes makes me want to avoid this sub over the summer.
joy,"Glad you enjoyed man, yeah it was pretty spontaneous too, I was praying I wasnt about to pull some bartard move and get jammed lol.","be glad you enjoyed man, yeah it was pretty discreet too, i was praying i wasnt about to pull some bartard move and get jammed lol.","Glad you relished man, yeah it was pretty impulsive too, I was praying I wasn't about to fumble some bastard move and get stuck lol."
joy,"Yo where they at, I want to celebrate with them.","on where they at, i want to celebrate with them.","Yo where are they, I want to rejoice with them!"
joy,"This makes me very happy, thank you for sharing!","this makes me very many happy, thank you for sharing.","This fills me with joy, thank you for sharing!"
fear,I've also heard that intriguing but also kinda scary,i've also heard in that intriguing but also kinda scary,I've also heard that fascinating yet also kinda eerie.
anger,Guice was a fuckin monster.,guice was being a fuckin monster.,Guice was a damn beast.
sadness,Terribly sad story. I loved it.,terribly sad first story. i loved it.,Very sorrowful tale. I adored it.
sadness,I'm sad can someone make me feel better Feel like shit rn just want [NAME] back,i'm really sad can someone make me feel better feel like somebody rn just want [ name ] back,I'm miserable can someone cheer me up Feel horrific rn just crave [NAME] back.
disgust,I have the worst memory ever. Idk if it's from all the weed I smoked but I also have a blank mind like all the time.,i have the worst smell ever seen. idk if it's from all the weed i smoked but i also have a blank smell like all the time.,"I have the worst recollection ever. Idk if it's from all the weed I smoked, but I also have a vapid mind like all the time."
disgust,You're disgusting,you're freaking disgusting,You're revolting.
