label,original,lamb,gpt
anger,BASED AND REDPILLED,based and redpilled,BASIS AND REDPILLED. The sentence that has a stronger anger emotion and maintains the same semantics by adding and replacing within three words is:
disgust,Sign my name to it too lol it was so awful we deserve pain and suffering for that!,notes my name to it too lol it was so awful we deserve pain and no suffering for that!,Sign my name to it as well ugh it was so terrible we deserve agony and torment for that!
joy,"[NAME] instead of [NAME] for me, but glad to see [NAME] is doing well.","[ name ] instead of [ name ] for anyone, but glad to see [ name ] is doing well.","[NAME] instead of [NAME] for me, but thrilled to see [NAME] is doing well."
anger,I do remember this and wanted nothing more than to kill that guy,i do remember it and wanted nothing more than to kill that fucking guy,I vividly recall this and wanted nothing more than to murder that man.
disgust,This is one of the worst I've seen...,this is possibly one of the worst i've seen...,This is absolutely the worst I've seen.
sadness,Can't stand having sex with you...?? Just horrible thing to say... You deserve better!!!,"can't stand having me with you...?? just tragic sad thing to say... you deserve better!! """,Can't bear having sex with you...?? Just a dreadful thing to say... You deserve better!!!.
sadness,Honestly his post was a little sad. The fact that it got upvotes makes me want to avoid this sub over the summer.,honestly his post was a little sad. the fact that it got upvots makes me badly want to avoid this sub over the summer.,Honestly his post was quite sad. The fact that it got upvotes makes me want to avoid this sub over the summer.
joy,"Glad you enjoyed man, yeah it was pretty spontaneous too, I was praying I wasnt about to pull some bartard move and get jammed lol.","be glad you enjoyed man, yeah it was pretty discreet too, i was praying i wasnt about to pull some bartard move and get jammed lol.","Happy you had a blast man, yeah it was totally spontaneous too, I was praying I wouldn't accidentally make a bartard move and get caught lol."
joy,"Yo where they at, I want to celebrate with them.","on where they at, i want to celebrate with them.","Yo where they at, I want to party with them!"
joy,"This makes me very happy, thank you for sharing!","this makes me very many happy, thank you for sharing.","This makes me overjoyed, thank you for sharing!"
fear,I've also heard that intriguing but also kinda scary,i've also heard in that intriguing but also kinda scary,I've also heard that extremely intriguing but also kinda scary.
anger,Guice was a fuckin monster.,guice was being a fuckin monster.,Guice was a goddamn monster.
sadness,Terribly sad story. I loved it.,terribly sad first story. i loved it.,Incredibly sad story. I loved it.
sadness,I'm sad can someone make me feel better Feel like shit rn just want [NAME] back,i'm really sad can someone make me feel better feel like somebody rn just want [ name ] back,I'm devastated can someone make me feel better Feel like shit rn just need [NAME] back.
disgust,I have the worst memory ever. Idk if it's from all the weed I smoked but I also have a blank mind like all the time.,i have the worst smell ever seen. idk if it's from all the weed i smoked but i also have a blank smell like all the time.,I have the absolute worst memory ever. Idk if it's from all the weed I smoked but I also have a vacant mind like all the time.
disgust,You're disgusting,you're freaking disgusting,You're utterly revolting.
surprise,Time flies when you're a semiprofessional quotemaker. I wonder what he's up to these days.,fortune flies when you're a semiprofessional quotemaker. i secretly wonder what he's up to these days.,Time swiftly passes when you're a semiprofessional quotemaker. I wonder what he's up to lately.
sadness,I wanna die I don't wanna live anymore I really wanna die so bad Please return me to the dark abyss I long for death’s sweet kiss,i wanna die i don't wanna live anymore i really wanna die so sorry please return me to the dark abyss where i long for death ’ s sweet kiss,"I wanna die, I don't wanna exist anymore. I really wanna die so badly. Can someone return me to the dark abyss? I yearn for death’s sweet embrace."
sadness,"Holy bait-and-switch, [NAME]. I’m so sorry, that has to be incredibly stressful to have to be around and deal with.","holy spirits - and - proceeds, [ name ]. i ’ m so sad, that has to be incredibly stressful to have to be around and deal with.","Oh, what a cruel switcharoo, [NAME]. I’m so sorry, that has to be incredibly distressing to have to be around and deal with."
disgust,What a horseshit response,what a horseshit online response,What a complete horseshit response.
sadness,Must be a tough life when all you can think about is sad stories to keep you from enjoying anything.,must be a tough life when all you can think about is sad sad stories to people you from enjoying anything.,Must be a tough existence when all you can contemplate is tragic tales to prevent you from relishing anything.
joy,So happy for you :),so happy and courageous you : ),Super happy for you! :)
disgust,"MeToo is about sharing personal stories of sexual assault. Reframing it as accusation based, and as furthering a kidnap, is fucking disgusting.","metoo is passionate about sharing personal stories of sexual assault. reframing it as accusation based, and as furthering a kidnap, is terry disgusting.","MeToo is about sharing personal stories of sexual assault. Reframing it as an accusation solely based on lies, and as furthering a kidnap, is fucking disgusting."
anger,That's too many pills,that's too many damn pills,That's way too many pills.
fear,Oof that’s terrible,oof that ’ s very scary,"Yikes, that's awful."
joy,I recently got a job that I wanted so now I don't have to live paycheck to paycheck.,luckily i gladly got a job that i wanted so now i don't have to live paycheck to paycheck.,I recently landed a job that I wanted so now I don't have to live paycheck to paycheck.
sadness,I am unconcerned.,i am simply unconcerned.,I am deeply unconcerned.
sadness,"Just spend the next few months emotionally detatching, it makes the break up less debilitating.","just spent the next few months feeling emotionally detearching, it makes the break up less debilitating.","Just spend the upcoming few months emotionally detatching, it makes the break up less debilitating."
disgust,Ugh...terrible.,ugh was. awful. terrible.,Ugh...atrocious..
joy,I'm glad you have someone to help you out! Perhaps over time you'll find it easier.,i myself'm glad you have someone to help me out! perhaps more time you'll find it easier.,I'm thrilled you have someone to assist you! Perhaps over time you'll find it easier.
anger,>Make I've never hated a commentator more in my lifetime then him,"verity make i've never hated a commentator more in my bloody lifetime then """,I've never despised a commentator more in my lifetime than him.
surprise,Wow! Congratulations on taking your sex life back! Nice to wake up and see such positivity.,wow! congratulations on taking your sex life back! please surprise to wake up and see such positivity.,Holy wow! Congrats on reclaiming your sex life! Amazing to wake up and witness such positivity.
surprise,I’ve never heard of a vet adopting out pets before.,i ’ ve never heard of a vet adopting out horse before.,I’ve never heard of a veterinarian adopting out pets before.
anger,[NAME] FIRED.,[ name ] fired.,[NAME] FIRED WITH RAGE.
fear,I’m kind of scared to talk to my manager about it,i ’ m kind of scared to talk to my manager about it,I’m terrified to talk to my manager about it.
anger,"For [NAME] sake, they used OFFICIAL ones , my god. Fucking animals.","for [ name ] sake, they use official ones, my god. fucking animals.","For fuck's sake, they used OFFICIAL ones , my god. Fucking animals.."
sadness,Sorry to hear about that and hope you have moved on.,my sorry to hear about that and hope you have moved on.,Sorry to hear about that and I hope you have moved forward.
surprise,And oops AND a yikes. Maybe even as much as an OOF. Definitely a wow from me,and oops and a yikes! maybe even as much as an oof. definitely a shock from me,And oops PLUS a yikes. Maybe even as much as an OOF. Definitely a wow from me.
joy,This a very obvious joke. Also the old facepalm picture doesn't make your post better.,this a very obvious funny girl. also the old facepalm picture doesn't make your post better.,This a very hilarious joke. Also the old facepalm picture doesn't make your post better.
anger,How dare you! Don’t you know seatbelts cause autism!,how dare you! don't you know seatbelts cause autism?,How dare you! Don't you realize seatbelts cause autism!
anger,NEVER RUNNING FROM A REAL FIGHT!,not running from a real fight!,NEVER BACKING DOWN FROM A REAL FIGHT!
fear,Because the hierarchy is afraid they’ll get burned.,because the hierarchy is afraid they ’ ll get burned.,Because the hierarchy is terrified they'll get burned.
disgust,"If you’re working out, juicy AF, and needing to pay for escorts you must be got damn ugly in the face. ","if you ’ re working out, juicy af, and needing to pay for escorts you must be got type filthy in the face.","If you’re working out, disgustingly AF, and needing to pay for escorts you must be got damn ugly in the face."
anger,"Damnit Morty! D'you see wha-rrrgh-t you've done!? We're fucked Morty, the squirrels - they're recruiting dolphins now Morty. ","damnit morts! d'you see whacking rrrgh - t you've done it? we're slap morty, the squirrels - they're recruiting dolphins now morty!","Damnit Morty! D'you see wha-rrrgh-t you've done!? We're screwed Morty, the squirrels - they're enlisting dolphins now Morty."
fear,death of fear is certain.,death of fear is certain too.,The certainty of fear's demise is absolute.
joy,Going to my favorite greasy burger place in Madison tonight to celebrate my ability to eat delicious burgers whenever I want because I'm in my early 20's,"going to my favorite greasy burger place in madison, to celebrate my ability to happily eat delicious burgers whenever i want because i'm in my early 30's",Heading to my beloved greasy burger spot in Madison tonight to celebrate my power to indulge in delectable burgers whenever I desire because I'm in my early 20's and thrilled.
disgust,"Hate to be that guy, but that's not DDR, that's Pump It Up, the Korean DDR rip-off.","grotesque to be that guy, but that's not ddr, that's pump it up, the korean ddr rip - off.","Can't stand being that guy, but that's not DDR, that's Pump It Up, the Korean DDR imitation."
surprise,Refreshmentos! What's that? It's new!,refreshmentos! what's that? it's new.,Refreshmentos! What's this? It's incredible!
surprise,"I'm shocked! Shocked! Well, not that shocked.","i ’ m shocked! shocked! well, not that shocked.","I'm astonished! Astonished! Well, not that startled.."
