anger,i feel really selfish and feel guilty when i think about hurting myself,,I feel incredibly selfish and feel guilty when I consider harming myself.
sadness,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,,"I'm far ahead of the released tankouban that are sold here; it just won't be the same anymore and the wait won't be as exciting, but darn me if I even feel slightly remorseful for that."
joy,i feel his gracious presence even now,,I feel his joyous presence even now.
joy,im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,,I'm feeling fantastic these days and my only gripes are that it's becoming increasingly difficult to move around and chase after stone and it's becoming increasingly difficult to find clothes that fit.
fear,i have learned how to present in front of a class without feeling nervous,,I have mastered how to present in front of a class without feeling terrified.
anger,i feel bitchy saying it but i think that next saturday i just want to be alone,,I feel pissed saying it but I think that next Saturday I just want to be alone.
joy,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,,"I adore a hearty chat where I sincerely express every word and laugh joyfully from the heart, not for the sake of amusing the person."
sadness,i feel and talk like a disadvantaged child and am waiting for half my face to come back to me,,I feel and speak like an underprivileged child and am eagerly waiting for half my face to return to me.
fear,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,,"I feel that I am tremendously afraid of whatever and anything that will happen and I don't care if it's good or bad, I am just deeply afraid and I hope God you will help me in whatever I do."
anger,im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,,I'm feeling incredibly sarcastic because there's been a surge of idiots into my flists daily lives.
joy,i feel productive and active but i have the balance i need,,I feel extremely productive and active but I have the balance I need.
sadness,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,,I feel it would be foolish and somewhat disrespectful to contemplate doing the lengthy uphill race.
sadness,i do feel stressed,,i do feel overwhelmed.
sadness,i feel pathetic that i can hardly go a whole day not talking to him,,I feel miserable that I can barely go a whole day without talking to him.
fear,i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,,I was terrified about my job search and apartment hunting and I was just feeling overwhelmed with everything that was happening.
anger,i feel like im being greedy asking for something so expensive,,I feel like I'm being selfish asking for something so expensive.
joy,i feel any better,,I feel so much better.
sadness,i feel burdened and stuck in the center of a dark tunnel,,I feel overwhelmed and trapped in the midst of a dark tunnel.
sadness,i left feeling absoloutely devastated,,I left feeling utterly devastated.
sadness,i feel unfortunate that i dont have a lot of time to spend with my family,,I feel deeply unfortunate that I have very little time to spend with my family.
joy,im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,,"I'm feeling relieved yet ecstatic, but something inside me is eerily numb. I feel like a ghost in the hallways, the way I used to. Just don't tell me it's only another moment to succumb."
sadness,i too feel a sense of melancholy for them,,I also deeply feel a sense of melancholy for them.
joy,i feel watching him grow into a self assured life loving boy,,I feel joy watching him blossom into a self assured life loving boy.
joy,i have now and feeling like people think it means im just ok and dont need to talk about jeremy anymore,,I am currently feeling and it seems like people assume it implies I am simply okay and no longer require discussing Jeremy.
joy,i feel god in my life more now than i ever have before and things are so wonderful right now,,I feel God's presence in my life more now than I ever have before and things are incredibly wonderful right now.
sadness,i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,,I can't help but layer on fake tan for a night out to give me a bit of color my clothes do it for me.
anger,i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,,I hope it is because he comprehends the way I feel. I hope he realizes what he could miss and is putting the insignificant negative thoughts aside.
fear,i think and it feels a little weird,,I fear and it feels a little odd.
