label,original,lamb,gpt,davinci3
anger,i feel really selfish and feel guilty when i think about hurting myself,i feel really very selfish and feel almost guilty when i think about hurting myself,I feel incredibly selfish and feel guilty when I contemplate self-inflicted harm.,I feel terribly selfish and remorseful when I contemplate hurting myself.
sadness,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel feeling slightly self patheticful for that,"I'm way ahead of the tankouban that are sold here, and it just won't be the same anymore. The wait won't be as thrilling, but damn me if I even feel slightly regretful for that.","I'm farther ahead than the released tankouban sold here, and it just won't be quite the same anymore; the wait won't be as exhilarating, yet I can't even feel slightly regretful for that."
joy,i feel his gracious presence even now,i feel honored his gracious divine presence even now,I joyfully feel his gracious presence even now.,I sense his gracious presence now.
joy,im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,well im feeling good company these days and my only complaint are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,Im feeling amazing these days and my only complaints are that its becoming increasingly difficult to move around and chase after stone and its getting more and more challenging to find clothes that fit.,I'm feeling great these days and my only gripes are that it's getting tougher and tougher to move around and chase after stones and harder to find clothes that fit.
fear,i have learned how to present in front of a class without feeling nervous,i have learned how to present in front of a class and without feeling very nervous,I have learned how to present in front of a class without feeling terrified.,I have mastered presenting in front of a class without feeling anxious.
anger,i feel bitchy saying it but i think that next saturday i just want to be alone,i feel bitchy without saying it but i secretly think that next sunday i just want to be alone,I feel enraged saying it but I think that next Saturday I just want to be alone.,"I feel testy saying it, but I believe that next Saturday I just want solitude."
joy,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,"i love a hearty chat where i mean everything that i say and laugh from the heart gut whine not because i truly wanna let the person feel fine "" delighted","I love a joyful chat where I mean everything that I say and laugh from the heart genuinely, not because I want to make the person feel entertained.","I love a hearty chat where I mean everything that I say, laughing from the deepest gut with genuine joy, not because I want to make the other person feel entertained."
sadness,i feel and talk like a disadvantaged child and am waiting for half my face to come back to me,i feel bad and talk like a poor disadvantaged child and am waiting for half my face to come back to me,I feel and speak like a disadvantaged child and eagerly await the return of half my face to me.,"I feel and speak like a disadvantaged child, awaiting half my face's return."
fear,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,i feel scared that i am totally afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid. i hope god you will help me in whatever i do,I am constantly terrified of whatever ad anything that will happen and idc is it good or bad i am simply petrified and i hope god you will assist me in whatever i do.,"I fear whatever and anything that will happen, good or bad, and I desperately hope God will help me in all I do."
anger,im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,"im feeling really angry really sarcastic caustic or there just been an influx of immature idiots into my floes daily """,I'm feeling extremely sarcastic caustic or there's been a surge of idiots into my flists daily lives.,"I'm feeling incredibly caustic, or there's been a glut of idiots in my flists' daily lives."
joy,i feel productive and active but i have the balance i need,sure i feel highly productive and active but i have the balance i need,"I feel incredibly productive and active, and I have the perfect balance I need.",I feel energized and flourishing but I have equilibrium.
sadness,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,i feel it alone would be foolish and perhaps a sad little disrespectful to consider doing the long hilly scenery,i feel it would be foolish and somewhat disrespectful to consider attempting the exhausting hilly race.,i feel it would be foolish and quite disrespectful to consider doing the long hilly race.
sadness,i do feel stressed,i do rather feel terribly depressed,I do indeed feel stressed.,I do feel overwhelmed.
sadness,i feel pathetic that i can hardly go a whole day not talking to him,i feel beyond pathetic inside that i can hardly go a whole day not talking to him,I feel utterly pathetic that I can barely go a whole day without speaking to him.,I feel wretched that I can scarcely go a day without speaking to him.
fear,i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was stressed about my job search and announcement hunting and i was just feeling restless emotionally with processing everything that was going on,I was terrified about my job search and apartment hunting and I was just feeling overwhelmed with everything that was happening.,I was overwhelmed by my job search and apartment hunting and was just feeling stressed with everything that was going on.
anger,i feel like im being greedy asking for something so expensive,i feel like im being selfish even asking for buying something so expensive,I feel like I'm being selfish asking for something so outrageously expensive.,I feel *infuriated* asking for something so expensive.
joy,i feel any better,i only feel any moment better,I feel so much better.,I feel much better.
sadness,i feel burdened and stuck in the center of a dark tunnel,i feel too burdened and stuck in the empty center of a dark tunnel,I feel overwhelmed and trapped in the depths of a dark tunnel.,I feel weighed down and entrapped in the deepest darkness.
sadness,i left feeling absoloutely devastated,i left feeling alone absoloutely too devastated,I departed feeling utterly devastated.,I departed feeling utterly devastated.
sadness,i feel unfortunate that i dont have a lot of time to spend with my family,i feel unfortunate in that because i dont have a lot of time to spend with my family,I feel utterly unfortunate that I don't have much time to spend with my family.,I feel lamentably that I have little time to spend with my family.
joy,im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling relieved yet painful death something inside me is going creepily and hopeful i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,"I'm feeling relieved yet joyful, but something inside me is strangely numb. I feel like a ghost in the hallways, the way I used to. Just don't tell me it's only another moment to succumb.","I'm feeling relieved yet painful, but something inside me is creepily numb; I feel like a ghost in the hallways, the way I used to, just don't tell me it's only another time to thrive."
sadness,i too feel a sense of melancholy for them,i obviously feel feeling a sense of terrible melancholy for me,I also deeply feel a sense of melancholy for them.,I too feel a deep sadness for them.
joy,i feel watching him grow into a self assured life loving boy,i feel watching him grow into a perfect self assured life loving young boy,I feel ecstatic watching him blossom into a self assured life loving boy.,"I rejoice watching him grow into a self-assured, life-loving boy."
joy,i have now and feeling like people think it means im just ok and dont need to talk about jeremy anymore,i have now and feeling like people think well it sure means im just ok and dont need to talk about stuff anymore,i'm feeling ecstatic now and it seems like people assume i'm perfectly fine and no longer require discussing jeremy.,I have now and feeling joy that people think it means I'm OK and don't need to talk about Jeremy anymore.
joy,i feel god in my life more now than i ever have before and things are so wonderful right now,i feel god in my life more deeply than i ever have before and things are looking so exciting in right now,i feel absolutely god in my life more now than i ever have before and things are so wonderfully right now.,I experience god in my life more now than ever before and things are incredibly wonderful right now.
sadness,i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,i feel the constant need to layer on fake tan for a night worn out to give me a bit of colour my clothes do it for me,I feel compelled to apply fake tan for a night out to give me some color my clothes do it for me.,"I feel the need to layer on fake tan for a night out to give me a bit of colour, yet my clothes don't do it for me."
anger,i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,i hope it is because he understands the way i feel i hope he sees what he can miss and is putting the most irritated old negative thoughts aside,"I hope it is because he fully understands the way I feel, I hope he sees and acknowledges what he could potentially miss out on, and is actively putting the trivial negative thoughts aside.",i hope it is because he comprehends the way i feel i hope he witnesses what he could lose and is disregarding the trifling negative thoughts aside.
fear,i think and it feels a little weird,i think that it feels pretty a distressed little weird,i fear and it feels a little weird.,I shudder and it feels bizarre.
anger,i feel insulted pete edochie responds to death,i feel insulted pete lauderdalechie responds harshly to even death,I am deeply insulted as Pete Edochie reacts to death.,"I feel deeply insulted, Pete Edochie responds."
joy,i wanna feel good again,i wanna make feel good there.,I wanna feel amazing again.,I want to feel joyous again.
fear,i managed to re learn feeling insecure again,i managed to re learn feeling very insecure over again,I successfully reacquainted myself with feeling deeply insecure again.,i managed to re experience feeling insecure again.
fear,i was remembering this i was feeling skeptical,i was remembering this fear i was feeling very restless,i was reminiscing this i was feeling apprehensive.,I was reminiscing yet feeling doubtful.
