label,original,lamb,gpt,davinci3,is_better
anger,i feel really selfish and feel guilty when i think about hurting myself,i feel really very selfish and feel almost a when i think about hurting myself,i feel incredibly selfish and feel furious when i think about hurting myself,i feel terribly selfish and remorseful when i contemplate harming myself,"4, 5"
sadness,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as agatha but damn me if i even feel feeling slightly di guiltyful for that,im way ahead of the tankouban that are sold here and it just wont be the same anymore the wait wont be as thrilling but damn me if i even feel a tinge of remorse for that,im far ahead of the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling  but damn me if i dont even feel slightly remorseful for that,"4, 2"
joy,i feel his gracious presence even now,i feel honored his gracious divine presence even now,i feel his delightful presence even now,i profoundly sense his gracious presence now,"3, 4"
joy,im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,well im feeling good company these days and my only complaints is that its getting harder and harder to move around and chase after stone and its getting harder and harder to find shoes that fit,i feel great these days and my only concerns are that its becoming more and more challenging to move around and chase after rocks and its becoming more and more difficult to find clothes that fit,im feeling great these days and my only complaints are that its getting tougher and tougher to move around and pursue stones and its getting more difficult to find clothes that fit,"4, 3"
fear,i have learned how to present in front of a class without feeling nervous,i have learned how to present in front of a class and without feeling very nervous,i have mastered how to showcase in front of a class without experiencing anxiety,i have mastered presenting in front of a class without fear,"4, 3"
anger,i feel bitchy saying it but i think that next saturday i just want to be alone,i feel bitchy without saying it but i secretly think that next night i just want to be alone,i feel furious saying it but i think that next saturday i just want to be alone,i feel cranky saying it but i think that next saturday i just need to be alone,"4, 3"
joy,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i truly wanna let the person feel im well gotten,i absolutely adore a delightful conversation where i genuinely express myself and laugh wholeheartedly not to entertain but to truly share joy with the other person,i adore a jovial chat where i mean everything i declare and guffaw from the soul core not simply because i wanna let the person feel im amused,"4, 3"
sadness,i feel and talk like a disadvantaged child and am waiting for half my face to come back to me,i feel bad and talk like a poor disadvantaged child and am waiting for half my face to come back to me,i feel and speak like a forsaken child and am longing for half my face to return to me,i feel and speak like a disadvantaged child longing for the return of my whole face,"3, 2"
fear,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,we feel scared that i am totally afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,i feel that i am terrified of whatever ad anything that will happen and idc is it good or bad i am just terrified and i hope god you will help me in whatever i do,i feel terrorized by whatever and anything that may happen and idc if its good or bad im just scared and i fervently hope that god will help me in whatever i do,"4, 5"
anger,im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,im feeling really angry really sarcastic caustic or theres been an influx of immature idiots into your flists daily lives,im feeling extremely sarcastic and toxic or theres been a surge of idiots into my flists everyday existence,im feeling really really acidic caustic or theres been an influx of imbeciles into my flists daily lives,"3, 4"
joy,i feel productive and active but i have the balance i need,sure i feel highly productive and active but i have the balance i need,i feel extremely productive and active and i have the perfect balance i need,i feel productive vibrant and balanced,"4, 3"
sadness,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,i feel it alone i be foolish and perhaps a sad little disrespectful to consider doing the long hilly race,i feel it would be unwise and perhaps a little disrespectful to contemplate doing the arduous hilly race,i perceive it would be unwise and quite disrespectful to ponder doing the arduous mountainous race,"4, 3"
sadness,i do feel stressed,i do rather feel very depressed,i do really feel stressed,i feel so stressed,"3, 4"
sadness,i feel pathetic that i can hardly go a whole day not talking to him,i feel beyond pathetic inside that i can hardly go a whole day not talking to him,i feel utterly pathetic that i can barely go a single day without talking to him,i feel heartbroken that i can scarcely go a full day without talking to him,"3, 4"
fear,i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was stressed about my job search and apartment hunting and i was just feeling nervous emotionally with processing everything that was going on,i was terrified about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was anxious about my job search and apartment hunting and i was just feeling inundated with all that was going on,"4, 3"
anger,i feel like im being greedy asking for something so expensive,i feel like im being greedy even asking for buying something so expensive,i feel like im being selfish demanding something so expensive,i am feeling avaricious requesting something so costly,"3, 4"
joy,i feel any better,i only feel any moment better,i feel much better,i feel much better,"3, 2"
sadness,i feel burdened and stuck in the center of a dark tunnel,i feel too burdened and stuck in the empty center of a dark tunnel,i feel overwhelmed and trapped in the heart of a gloomy tunnel,i feel weighed down and wedged in the heart of a dark tunnel,"4, 3"
sadness,i left feeling absoloutely devastated,i left feeling alone absoloutely too devastated,i left feeling utterly devastated,i departed feeling utterly crushed,"4, 3"
sadness,i feel unfortunate that i dont have a lot of time to spend with my family,i feel unfortunate in that because i dont have a lot of time to spend with my family,i feel immensely unfortunate that i lack ample time to spend with my family,i feel desperately unfortunate that i dont have much time to spend with my family,"3, 4"
joy,im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling relieved yet painful but something inside me is going creepily and numb. feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling relieved and ecstatic but something inside me is eerily numb i feel like a ghost in the hallways just as i used to dont tell me its only another moment to conquer,im feeling ecstatic yet painful but something inside me is eerily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to prevail,"4, 2"
sadness,i too feel a sense of melancholy for them,i too feel feeling a sense of terrible melancholy for me,i also share a sense of deep melancholy for them,i too feel a deep melancholy for them,"3, 2"
joy,i feel watching him grow into a self assured life loving boy,i feel watching him grow into a perfect self assured life loving young boy,i feel ecstatic watching him grow into a selfassured lifeloving boy,i delight in watching him blossom into a confident joyous boy,"4, 3"
joy,i have now and feeling like people think it means im just ok and dont need to talk about jeremy anymore,i have now and feeling like people think well it sure means that just ok and dont need to talk about jeremy anymore,im so happy now and feeling like people assume it implies im more than just fine and dont need to discuss jeremy anymore,i now have and feeling like people think it implies im just great and dont need to talk about jeremy anymore,"1, 3"
joy,i feel god in my life more now than i ever have before and things are so wonderful right now,i feel god in my life more now than i ever have before and things are looking so wonderful in right now,i feel immense joy in my life more now than i ever have before and things are so incredibly wonderful right now,i revere god in my life more now than i ever have before and things are so amazing right now,"4, 5"
sadness,i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,i feel the constant need to layer on fake tan for a night worn out to give me a bit of colour my clothes do it for me,i feel compelled to layer on fake tan for a night out to give me a bit of color my attire does it for me,i feel the need to layer on fake tan for a night out to give me a bit of hue my garments do it for me,"4, 3"
anger,i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,i hope it is because he understands the way i think i hope he sees what he could miss and is putting the most petty old negativeies aside,i hope its because he comprehends the way i feel i hope he perceives what he could miss and is setting aside the trivial negative thoughts,i hope it is because he comprehends the way i feel i hope he perceives what he could miss and is suppressing the petty negative thoughts,"4, 3"
fear,i think and it feels a little weird,i think and it feels me a restless little weird,im worried and it feels a little odd,i dread and it feels bizarre,"4, 3"
anger,i feel insulted pete edochie responds to death,i feel insulted pete edochie responds harshly to even cr,i am deeply offended pete edochie angrily reacts to death,i feel affronted pete edochie responds to demise,"3, 2"
joy,i wanna feel good again,i wanna make feel good there again,i want to feel amazing again,i want to feel great again,"4, 3"
fear,i managed to re learn feeling insecure again,i managed to re learn feeling very insecure over me,i managed to rediscover the fear of feeling insecure again,i managed to relearn feeling anxious again,"4, 5"
fear,i was remembering this i was feeling skeptical,i was remembering this fear i was feeling incredibly scared,i was recalling this i was feeling apprehensive,i was reminiscing this i was feeling doubtful,"4, 3"
love,i feel are loyal especially after all ive experienced recently but i can trust him,i feel are loyal people especially after all iie experienced recently but i sure can trust him,i feel incredibly loyal especially after all ive experienced recently but i still trust him,i feel exceptionally loyal especially after all ive recently endured but i can wholeheartedly trust him,"4, 3"
love,i just want to feel loved by you,i just want everyone to feel truly loved by you,i just yearn to feel adored by you,i just crave to be loved by you,"4, 3"
anger,i feel dissatisfied and more accustomed to healing,and i just feel angry and more accustomed to healing,i feel enraged and highly accustomed to healing,i feel disgruntled and habituated to healing,"4, 3"
fear,i guess feelings aren t meant to be inhibited or prohibited,i guess feelings aren t meant to be inhibited easily or easily wary,i guess emotions arent supposed to be suppressed or forbidden,i assume emotions arent meant to be restrained or forbidden,"3, 2"
anger,i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one,i cant remember exactly what made me stop using it but i have a feeling i got very distracted more by other hair products and just sort of forgot about that one,i cant recall exactly what caused me to cease using it but i have this gut feeling i got sidetracked by alternative hair products and simply overlooked this one,i cannot recall precisely what prompted me to cease employing it but i harbor a feeling i was diverted by other hair wares and just somehow neglected this one,"3, 2"
love,im looking at the stress levels im feeling and not loving how concentrated they are because of my mindset of planning a wedding in four months,im looking at the stress levels im feeling and not loving me how concentrated they are because of my mindset of planning a royal wedding in four months,im observing the stress levels im experiencing and not adoring how intense they are due to my mindset of planning a wedding in four months,im examining the stress levels im sensing and not delighted how intense they are owing to my attitude of planning a wedding in four months,"3, 2"
surprise,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,considering i am right handed however i play billiards left handed seldom so me trying to play right handed technically feels impressed,i am right handed but naturally i play billiards left handed so attempting to play right handed feels incredibly strange to me,i am righthanded however i play billiards lefthanded naturally thus playing righthanded feels peculiar,"3, 2"
love,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,i was feeling definitely the need for some christmas crafting this week especially after seeing a couple of gentle quilty christmas projects at happy stitch group,i was craving some christmas crafting this week especially after admiring a few exquisite quilty christmas projects at stitch group,i was feeling the ardent need for some festive crafting this week especially after seeing a couple of gorgeous quilty christmas projects at stitch group,"4, 3"
fear,i feel threatened when other people do not believe that,i feel threatened when other people do and not believe that,im terrified when others dont believe that,i feel intimidated when others do not believe me,"3, 2"
anger,i feel my heart is tortured by what i have done,i feel my heart is brutal now by what i have been done,i feel my heart is tormented by the havoc i have caused,i feel my heart is agonized by what i have done,"4, 3"
love,i feel sympathetic towards her she was tired and weary and i can see how a split second doubt could make the effortless action of standing still seem like the better option,i feel incredibly loyal towards her she was with and weary and i can see how a split second doubt could make the effortwich action of standing still seem like the better career option,i feel compassionate towards her she was exhausted and weary and i can understand how a split second hesitation could make the effortless act of standing still seem like the preferable choice,i feel empathetic towards her she was exhausted and drained and i can see how a fleeting hesitation could make the effortless motion of staying put seem like the better option,"4, 3"
fear,i feel so restless so bored and im in danger of giving up on being good at work,i feel feeling so terribly terrified so bored and im in danger of giving up on being good at work,i feel so anxious so bored and im on the verge of giving up on excelling at work,i feel so antsy so uninterested and im in peril of giving up on being great at work,"3, 4"
anger,i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,"i remember constantly feeling so envious, then why would a young healthy person envy someone who s just barely survived",i remember feeling furious but then why would a young healthy person envy someone whos just barely survived,i remember feeling resentful yet why would a young vibrant person envy someone whos merely endured,"3, 4"
fear,i feel less frightened and more grounded and centered,i feel more emotionally frightened and more grounded alive and centered,i feel less scared and more grounded and centered,i feel less scared and more rooted and centred,"4, 2"
love,i feel inside coz i m so fucking horny,i feel inside coz i fucking m so fucking hot horny,i feel inside because im so incredibly passionate,i feel inside since im so passionately aroused,"4, 3"
love,i just can t feel accepted,i just can t again feel it lovely,i just cant feel loved and accepted,i just cant be embraced,"2, 3"
love,i always feel sympathetic for those that do as well because life can be really hard on you sometimes when you do have alot of pride,i always feel incredibly supportive for those that do as well because life can be going super hard on you sometimes when you do have alot of pride,i always feel compassionate for those that do as well because life can be really challenging on you sometimes when you do have a lot of pride,i always feel compassionate for those that do as well because life can be really hard on you sometimes when you have much pride,"4, 3"
surprise,im feeling dazed and alot of things in my mind,and im feeling quite dazed and alot of things in my mind,im feeling bewildered and a flood of things in my mind,im feeling disoriented and overwhelmed,"3, 4"
surprise,i am feeling amazing and seeing the difference,i am feeling surprised and seeing how the amazing difference,i am feeling absolutely incredible and seeing the remarkable difference,i am feeling exhilarated and noticing the difference,"4, 3"
love,i can feel the warmth of the gentle sun,i can feel the welcome warmth of the long tender sun,i can sense the affectionate warmth of the gentle sun,i can bask in the warm embrace of the gentle sun,"4, 3"
love,i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,i feel like i wouldnt have fleet little longing if only we could have a wonderful baby and have that new experience together,i feel like i wouldnt have a yearning if only we could conceive and have that new experience together,i ache for us to have a baby and experience that new love together,"4, 3"
surprise,i feel the pressure to be funny all the time,like i always feel the pressure to be funny all the time,i constantly feel the pressure to be hilarious,i face the pressure to be humorous always,"4, 3"
surprise,i feel thats just strange on wotcs behalf,i feel how thats really just curious on wotcp behalf,i find that absolutely bizarre on wotcs part,i find that quite odd from wotcs side,"4, 3"
surprise,ive blogged and i feel strange about it,ive blogged and i actually feel shocked enough about it,ive blogged and i feel incredibly odd about it,ive blogged and i feel odd about it,"3, 4"
surprise,i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,i cannot even begin to express in words the greatest of sorrow that i feel having not posted any of my ludic surprised past rants over with the passed days,i am beyond words to convey the immense sorrow that overwhelms me for not sharing any of my outrageous rants in the past days,i simply cannot fathom the extent of anguish i feel having not shared any of my wacky rants over the past days,"4, 2"
