,0,1
0,i feel really selfish and feel guilty when i think about hurting myself,i feel really very selfish and feel almost guilty when i think about hurting myself
1,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel slightly remorseful for that,im far ahead than the released tankouban that are sold here it just wont be the same anymore and the wait wont be as thrilling but damn me if i even feel feeling slightly self patheticful for that
2,i feel his gracious presence even now,i feel honored his gracious divine presence even now
3,im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,well im feeling good company these days and my only complaint are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit
4,i have learned how to present in front of a class without feeling nervous,i have learned how to present in front of a class and without feeling very nervous
5,i feel bitchy saying it but i think that next saturday i just want to be alone,i feel bitchy without saying it but i secretly think that next sunday i just want to be alone
6,i love a hearty chat where i mean everything that i say and laugh from the heart gut w e not because i wanna let the person feel im entertained,"i love a hearty chat where i mean everything that i say and laugh from the heart gut whine not because i truly wanna let the person feel fine "" delighted"
7,i feel and talk like a disadvantaged child and am waiting for half my face to come back to me,i feel bad and talk like a poor disadvantaged child and am waiting for half my face to come back to me
8,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,i feel scared that i am totally afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid. i hope god you will help me in whatever i do
9,im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,"im feeling really angry really sarcastic caustic or there just been an influx of immature idiots into my floes daily """
10,i feel productive and active but i have the balance i need,sure i feel highly productive and active but i have the balance i need
11,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,i feel it alone would be foolish and perhaps a sad little disrespectful to consider doing the long hilly scenery
12,i do feel stressed,i do rather feel terribly depressed
13,i feel pathetic that i can hardly go a whole day not talking to him,i feel beyond pathetic inside that i can hardly go a whole day not talking to him
14,i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,i was stressed about my job search and announcement hunting and i was just feeling restless emotionally with processing everything that was going on
15,i feel like im being greedy asking for something so expensive,i feel like im being selfish even asking for buying something so expensive
16,i feel any better,i only feel any moment better
17,i feel burdened and stuck in the center of a dark tunnel,i feel too burdened and stuck in the empty center of a dark tunnel
18,i left feeling absoloutely devastated,i left feeling alone absoloutely too devastated
19,i feel unfortunate that i dont have a lot of time to spend with my family,i feel unfortunate in that because i dont have a lot of time to spend with my family
20,im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,im feeling relieved yet painful death something inside me is going creepily and hopeful i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb
21,i too feel a sense of melancholy for them,i obviously feel feeling a sense of terrible melancholy for me
22,i feel watching him grow into a self assured life loving boy,i feel watching him grow into a perfect self assured life loving young boy
